department,category,subcategory,name_slug,primary_sku,color_variant_skus,num_colors,product_url,image_url_guess
여성,패션소품,모두보기,cubic-jacquard-shawl,MEFDSMM16IW001,MEFDSMM16IW001,1,https://kr.mcmworldwide.com/ko_KR/%EC%97%AC%EC%84%B1/%ED%8C%A8%EC%85%98%EC%86%8C%ED%92%88/%EB%AA%A8%EB%91%90%EB%B3%B4%EA%B8%B0/cubic-jacquard-shawl/MEFDSMM16IW001.html,https://images.mcmworldwide.com/i/mcmworldwide/MEFDSMM16IW001_01/MEFDSMM16IW001/cubic-jacquard-shawl?$large$&fmt=auto&qlt=default
여성,패션소품,모두보기,앱스트랙트-모노그램-쁘띠-실크-스카프,MEFESMM06G0001,MEFESMM06G0001,1,https://kr.mcmworldwide.com/ko_KR/%EC%97%AC%EC%84%B1/%ED%8C%A8%EC%85%98%EC%86%8C%ED%92%88/%EB%AA%A8%EB%91%90%EB%B3%B4%EA%B8%B0/%EC%95%B1%EC%8A%A4%ED%8A%B8%EB%9E%99%ED%8A%B8-%EB%AA%A8%EB%85%B8%EA%B7%B8%EB%9E%A8-%EC%81%98%EB%9D%A0-%EC%8B%A4%ED%81%AC-%EC%8A%A4%EC%B9%B4%ED%94%84/MEFESMM06G0001.html,https://images.mcmworldwide.com/i/mcmworldwide/MEFESMM06G0001_01/MEFESMM06G0001/앱스트랙트-모노그램-쁘띠-실크-스카프?$large$&fmt=auto&qlt=default
여성,패션소품,모두보기,모노그램-니트-양말,MEZCAMM17BK0ML,MEZCAMM17BK0ML;MEZCAMM17CO0ML;MEZCAMM17PZ0ML;MEZCAMM17PZ0SM;MEZCAMM17Q70ML;MEZCAMM17WL0ML;MEZCAMM17WL0SM,7,https://kr.mcmworldwide.com/ko_KR/%EC%97%AC%EC%84%B1/%ED%8C%A8%EC%85%98%EC%86%8C%ED%92%88/%EB%AA%A8%EB%91%90%EB%B3%B4%EA%B8%B0/%EB%AA%A8%EB%85%B8%EA%B7%B8%EB%9E%A8-%EB%8B%88%ED%8A%B8-%EC%96%91%EB%A7%90/MEZCAMM17BK0ML.html,https://images.mcmworldwide.com/i/mcmworldwide/MEZCAMM17BK0ML_01/MEZCAMM17BK0ML/모노그램-니트-양말?$large$&fmt=auto&qlt=default
여성,패션소품,모두보기,모노그램-니트-삭스,MEZCAMM17F00ML,MEZCAMM17F00ML;MEZCAMM17F00SM,2,https://kr.mcmworldwide.com/ko_KR/%EC%97%AC%EC%84%B1/%ED%8C%A8%EC%85%98%EC%86%8C%ED%92%88/%EB%AA%A8%EB%91%90%EB%B3%B4%EA%B8%B0/%EB%AA%A8%EB%85%B8%EA%B7%B8%EB%9E%A8-%EB%8B%88%ED%8A%B8-%EC%82%AD%EC%8A%A4/MEZCAMM17F00ML.html,https://images.mcmworldwide.com/i/mcmworldwide/MEZCAMM17F00ML_01/MEZCAMM17F00ML/모노그램-니트-삭스?$large$&fmt=auto&qlt=default
여성,패션소품,모자-헤어-액세서리,econyl®-리버서블-모노그램-스크런치,MEEFAMM01B7001,MEEFAMM01B7001,1,https://kr.mcmworldwide.com/ko_KR/%EC%97%AC%EC%84%B1/%ED%8C%A8%EC%85%98%EC%86%8C%ED%92%88/%EB%AA%A8%EC%9E%90-%ED%97%A4%EC%96%B4-%EC%95%A1%EC%84%B8%EC%84%9C%EB%A6%AC/econyl%C2%AE-%EB%A6%AC%EB%B2%84%EC%84%9C%EB%B8%94-%EB%AA%A8%EB%85%B8%EA%B7%B8%EB%9E%A8-%EC%8A%A4%ED%81%AC%EB%9F%B0%EC%B9%98/MEEFAMM01B7001.html,https://images.mcmworldwide.com/i/mcmworldwide/MEEFAMM01B7001_01/MEEFAMM01B7001/econyl®-리버서블-모노그램-스크런치?$large$&fmt=auto&qlt=default
여성,패션소품,모자-헤어-액세서리,모노그램-프린트-econyl®-포켓이-있는-울-비니,MEHFAMM01BK001,MEHFAMM01BK001,1,https://kr.mcmworldwide.com/ko_KR/%EC%97%AC%EC%84%B1/%ED%8C%A8%EC%85%98%EC%86%8C%ED%92%88/%EB%AA%A8%EC%9E%90-%ED%97%A4%EC%96%B4-%EC%95%A1%EC%84%B8%EC%84%9C%EB%A6%AC/%EB%AA%A8%EB%85%B8%EA%B7%B8%EB%9E%A8-%ED%94%84%EB%A6%B0%ED%8A%B8-econyl%C2%AE-%ED%8F%AC%EC%BC%93%EC%9D%B4-%EC%9E%88%EB%8A%94-%EC%9A%B8-%EB%B9%84%EB%8B%88/MEHFAMM01BK001.html,https://images.mcmworldwide.com/i/mcmworldwide/MEHFAMM01BK001_01/MEHFAMM01BK001/모노그램-프린트-econyl®-포켓이-있는-울-비니?$large$&fmt=auto&qlt=default
여성,패션소품,모자-헤어-액세서리,mcm-x-we-the-best-코튼-트윌-버킷-헷,MEHGAMM031B001,MEHGAMM031B001,1,https://kr.mcmworldwide.com/ko_KR/%EC%97%AC%EC%84%B1/%ED%8C%A8%EC%85%98%EC%86%8C%ED%92%88/%EB%AA%A8%EC%9E%90-%ED%97%A4%EC%96%B4-%EC%95%A1%EC%84%B8%EC%84%9C%EB%A6%AC/mcm-x-we-the-best-%EC%BD%94%ED%8A%BC-%ED%8A%B8%EC%9C%8C-%EB%B2%84%ED%82%B7-%ED%97%B7/MEHGAMM031B001.html,https://images.mcmworldwide.com/i/mcmworldwide/MEHGAMM031B001_01/MEHGAMM031B001/mcm-x-we-the-best-코튼-트윌-버킷-헷?$large$&fmt=auto&qlt=default
여성,패션소품,모자-헤어-액세서리,mcm-x-we-the-best-울트라스웨이드-캡,MEHGAMM04NG001,MEHGAMM04NG001,1,https://kr.mcmworldwide.com/ko_KR/%EC%97%AC%EC%84%B1/%ED%8C%A8%EC%85%98%EC%86%8C%ED%92%88/%EB%AA%A8%EC%9E%90-%ED%97%A4%EC%96%B4-%EC%95%A1%EC%84%B8%EC%84%9C%EB%A6%AC/mcm-x-we-the-best-%EC%9A%B8%ED%8A%B8%EB%9D%BC%EC%8A%A4%EC%9B%A8%EC%9D%B4%EB%93%9C-%EC%BA%A1/MEHGAMM04NG001.html,https://images.mcmworldwide.com/i/mcmworldwide/MEHGAMM04NG001_01/MEHGAMM04NG001/mcm-x-we-the-best-울트라스웨이드-캡?$large$&fmt=auto&qlt=default
여성,패션소품,모자-헤어-액세서리,업사이클링-프로젝트-스카프-스크런치,MEEGSUP01OQ001,MEEGSUP01OQ001;MEEGSUP01P7001,2,https://kr.mcmworldwide.com/ko_KR/%EC%97%AC%EC%84%B1/%ED%8C%A8%EC%85%98%EC%86%8C%ED%92%88/%EB%AA%A8%EC%9E%90-%ED%97%A4%EC%96%B4-%EC%95%A1%EC%84%B8%EC%84%9C%EB%A6%AC/%EC%97%85%EC%82%AC%EC%9D%B4%ED%81%B4%EB%A7%81-%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8-%EC%8A%A4%EC%B9%B4%ED%94%84-%EC%8A%A4%ED%81%AC%EB%9F%B0%EC%B9%98/MEEGSUP01OQ001.html,https://images.mcmworldwide.com/i/mcmworldwide/MEEGSUP01OQ001_01/MEEGSUP01OQ001/업사이클링-프로젝트-스카프-스크런치?$large$&fmt=auto&qlt=default
여성,패션소품,모자-헤어-액세서리,울-캐시미어-자카드-메가-헤링본-비니,MEHFAMM03Y0001,MEHFAMM03Y0001,1,https://kr.mcmworldwide.com/ko_KR/%EC%97%AC%EC%84%B1/%ED%8C%A8%EC%85%98%EC%86%8C%ED%92%88/%EB%AA%A8%EC%9E%90-%ED%97%A4%EC%96%B4-%EC%95%A1%EC%84%B8%EC%84%9C%EB%A6%AC/%EC%9A%B8-%EC%BA%90%EC%8B%9C%EB%AF%B8%EC%96%B4-%EC%9E%90%EC%B9%B4%EB%93%9C-%EB%A9%94%EA%B0%80-%ED%97%A4%EB%A7%81%EB%B3%B8-%EB%B9%84%EB%8B%88/MEHFAMM03Y0001.html,https://images.mcmworldwide.com/i/mcmworldwide/MEHFAMM03Y0001_01/MEHFAMM03Y0001/울-캐시미어-자카드-메가-헤링본-비니?$large$&fmt=auto&qlt=default
여성,패션소품,모자-헤어-액세서리,에센셜-울-비니,MEHFSBC01BK001,MEHFSBC01BK001;MEHFSBC01CO001;MEHFSBC01Q6001,3,https://kr.mcmworldwide.com/ko_KR/%EC%97%AC%EC%84%B1/%ED%8C%A8%EC%85%98%EC%86%8C%ED%92%88/%EB%AA%A8%EC%9E%90-%ED%97%A4%EC%96%B4-%EC%95%A1%EC%84%B8%EC%84%9C%EB%A6%AC/%EC%97%90%EC%84%BC%EC%85%9C-%EC%9A%B8-%EB%B9%84%EB%8B%88/MEHFSBC01BK001.html,https://images.mcmworldwide.com/i/mcmworldwide/MEHFSBC01BK001_01/MEHFSBC01BK001/에센셜-울-비니?$large$&fmt=auto&qlt=default
여성,패션소품,모자-헤어-액세서리,리버서블-버킷-헷,MEHGABC01PZ058,MEHGABC01PZ058,1,https://kr.mcmworldwide.com/ko_KR/%EC%97%AC%EC%84%B1/%ED%8C%A8%EC%85%98%EC%86%8C%ED%92%88/%EB%AA%A8%EC%9E%90-%ED%97%A4%EC%96%B4-%EC%95%A1%EC%84%B8%EC%84%9C%EB%A6%AC/%EB%A6%AC%EB%B2%84%EC%84%9C%EB%B8%94-%EB%B2%84%ED%82%B7-%ED%97%B7/MEHGABC01PZ058.html,https://images.mcmworldwide.com/i/mcmworldwide/MEHGABC01PZ058_01/MEHGABC01PZ058/리버서블-버킷-헷?$large$&fmt=auto&qlt=default
여성,패션소품,모자-헤어-액세서리,루렉스-울-라봇-비니,MEHGSMM01BK001,MEHGSMM01BK001,1,https://kr.mcmworldwide.com/ko_KR/%EC%97%AC%EC%84%B1/%ED%8C%A8%EC%85%98%EC%86%8C%ED%92%88/%EB%AA%A8%EC%9E%90-%ED%97%A4%EC%96%B4-%EC%95%A1%EC%84%B8%EC%84%9C%EB%A6%AC/%EB%A3%A8%EB%A0%89%EC%8A%A4-%EC%9A%B8-%EB%9D%BC%EB%B4%87-%EB%B9%84%EB%8B%88/MEHGSMM01BK001.html,https://images.mcmworldwide.com/i/mcmworldwide/MEHGSMM01BK001_01/MEHGSMM01BK001/루렉스-울-라봇-비니?$large$&fmt=auto&qlt=default
여성,패션소품,벨트,aren-스터드-가죽-벨트,MYBGATA03BK080,MYBGATA03BK080;MYBGATA03BK090,2,https://kr.mcmworldwide.com/ko_KR/%EC%97%AC%EC%84%B1/%ED%8C%A8%EC%85%98%EC%86%8C%ED%92%88/%EB%B2%A8%ED%8A%B8/aren-%EC%8A%A4%ED%84%B0%EB%93%9C-%EA%B0%80%EC%A3%BD-%EB%B2%A8%ED%8A%B8/MYBGATA03BK080.html,https://images.mcmworldwide.com/i/mcmworldwide/MYBGATA03BK080_01/MYBGATA03BK080/aren-스터드-가죽-벨트?$large$&fmt=auto&qlt=default
여성,패션소품,벨트,m-art-비세토스-벨트-1인치,MYBFSUM01CO090,MYBFSUM01CO090;MYBFSUM01CO100,2,https://kr.mcmworldwide.com/ko_KR/%EC%97%AC%EC%84%B1/%ED%8C%A8%EC%85%98%EC%86%8C%ED%92%88/%EB%B2%A8%ED%8A%B8/m-art-%EB%B9%84%EC%84%B8%ED%86%A0%EC%8A%A4-%EB%B2%A8%ED%8A%B8-1%EC%9D%B8%EC%B9%98/MYBFSUM01CO090.html,https://images.mcmworldwide.com/i/mcmworldwide/MYBFSUM01CO090_01/MYBFSUM01CO090/m-art-비세토스-벨트-1인치?$large$&fmt=auto&qlt=default
여성,패션소품,벨트,m-art-비세토스-1인치-벨트,MYBGAUM014B080,MYBGAUM014B080;MYBGAUM014B090;MYBGAUM014B100;MYBGAUM014B110;MYBGAUM01PZ090;MYBGAUM01PZ100,6,https://kr.mcmworldwide.com/ko_KR/%EC%97%AC%EC%84%B1/%ED%8C%A8%EC%85%98%EC%86%8C%ED%92%88/%EB%B2%A8%ED%8A%B8/m-art-%EB%B9%84%EC%84%B8%ED%86%A0%EC%8A%A4-1%EC%9D%B8%EC%B9%98-%EB%B2%A8%ED%8A%B8/MYBGAUM014B080.html,https://images.mcmworldwide.com/i/mcmworldwide/MYBGAUM014B080_01/MYBGAUM014B080/m-art-비세토스-1인치-벨트?$large$&fmt=auto&qlt=default
여성,패션소품,벨트,m-art-비세토스-파우치-벨트,MYBFATA02K8100,MYBFATA02K8100,1,https://kr.mcmworldwide.com/ko_KR/%EC%97%AC%EC%84%B1/%ED%8C%A8%EC%85%98%EC%86%8C%ED%92%88/%EB%B2%A8%ED%8A%B8/m-art-%EB%B9%84%EC%84%B8%ED%86%A0%EC%8A%A4-%ED%8C%8C%EC%9A%B0%EC%B9%98-%EB%B2%A8%ED%8A%B8/MYBFATA02K8100.html,https://images.mcmworldwide.com/i/mcmworldwide/MYBFATA02K8100_01/MYBFATA02K8100/m-art-비세토스-파우치-벨트?$large$&fmt=auto&qlt=default
여성,패션소품,쁘띠-스카프-스카프,m50-로고-실크-스카프,MEFGAMM09BK001,MEFGAMM09BK001,1,https://kr.mcmworldwide.com/ko_KR/%EC%97%AC%EC%84%B1/%ED%8C%A8%EC%85%98%EC%86%8C%ED%92%88/%EC%81%98%EB%9D%A0-%EC%8A%A4%EC%B9%B4%ED%94%84-%EC%8A%A4%EC%B9%B4%ED%94%84/m50-%EB%A1%9C%EA%B3%A0-%EC%8B%A4%ED%81%AC-%EC%8A%A4%EC%B9%B4%ED%94%84/MEFGAMM09BK001.html,https://images.mcmworldwide.com/i/mcmworldwide/MEFGAMM09BK001_01/MEFGAMM09BK001/m50-로고-실크-스카프?$large$&fmt=auto&qlt=default
